,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
696,2,Laurel Valley,Garry,Fletcher,5,Adopted Grandson,NA,Male,Student,None,NA
697,2,Laurel Valley,Gary,Fletcher,4,Grandson,NA,Male,Child,None,NA
698,3,Laurel Valley,Sheila,Warner,63,Head,Single,Female,Unemployed,None,Christian
699,3,Laurel Valley,Jack,Warner,41,Son,Single,Male,Multimedia programmer,None,Christian
700,3,Laurel Valley,Hazel,Warner,40,Daughter,Single,Female,Museum education officer,None,Christian
701,3,Laurel Valley,Reece,Warner,40,Son,Single,Male,"Producer, television/film/video",None,None
702,4,Laurel Valley,Sharon,Dawson,64,Head,Single,Female,"Editor, film/video",None,Christian
703,4,Laurel Valley,Nicole,Dawson,28,Daughter,Single,Female,Secretary/administrator,None,Christian
704,4,Laurel Valley,Julie,Dawson,27,Daughter,Single,Female,Merchant navy officer,None,Christian
705,5,Laurel Valley,Callum,Ball,38,Head,Divorced,Male,Unemployed,None,Christian
706,5,Laurel Valley,Bernard,Ball,11,Son,NA,Male,Student,None,NA
707,5,Laurel Valley,Henry,Ball,8,Son,NA,Male,Student,None,NA
708,5,Laurel Valley,Patricia,Ball,4,Daughter,NA,Female,Child,None,NA
709,6,Laurel Valley,Hilary,Smith,45,Head,Married,Female,Forensic scientist,None,Christian
710,6,Laurel Valley,Guy,Smith,45,Husband,Married,Male,"Nurse, learning disability",None,None
711,6,Laurel Valley,Vincent,Smith,10,Son,NA,Male,Student,None,NA
712,7,Laurel Valley,Sheila,Morrison,29,Head,Married,Female,Air traffic controller,None,None
713,7,Laurel Valley,Russell,Morrison,30,Husband,Married,Male,Research scientist (physical sciences),None,None
714,7,Laurel Valley,Iain,Morrison,6,Son,NA,Male,Student,None,NA
715,8,Laurel Valley,Melanie,Long,49,Head,Single,Female,Unemployed,None,None
716,8,Laurel Valley,Jason,Long,8,Son,NA,Male,Student,None,NA
717,8,Laurel Valley,Albert,Long,7,Son,NA,Male,Student,None,NA
718,9,Laurel Valley,Shaun,Adams,44,Head,Single,Male,Television production assistant,None,Catholic
719,9,Laurel Valley,Gillian,Knight,41,Partner,Single,Female,Ambulance person,None,Catholic
720,9,Laurel Valley,Jade,Adams,12,Daughter,NA,Female,Student,None,NA
721,1,Alba Drive,Gary,Ferguson,20,Head,Single,Male,TEFL teacher,None,None
722,2,Alba Drive,Samantha,Dickinson-Hayes,71,Head,Married,Female,Retired Art gallery manager,None,Methodist
723,2,Alba Drive,Victor,Dickinson-Hayes,74,Husband,Married,Male,Retired Sub,None,None
724,3,Alba Drive,Adam,Taylor,63,Head,Divorced,Male,Exhibition designer,None,Christian
725,4,Alba Drive,Oliver,Read,56,Head,Single,Male,"Restaurant manager, fast food",None,Christian
726,5,Alba Drive,Rosemary,Griffin,39,Head,Married,Female,Production manager,None,Catholic
727,5,Alba Drive,Keith,Griffin,42,Husband,Married,Male,Unemployed,None,Catholic
728,6,Alba Drive,Gillian,Hughes,74,Head,Widowed,Female,Retired Garment/textile technologist,None,Catholic
729,7,Alba Drive,Tracy,Griffiths,21,Head,Married,Female,University Student,None,None
730,7,Alba Drive,Carl,Griffiths,21,Husband,Married,Male,University Student,None,None
731,8,Alba Drive,Patricia,Faulkner,26,Head,Single,f,Telecommunications researcher,None,Christian
732,8,Alba Drive,Leanne,Faulkner,6,Daughter,NA,Female,Student,None,NA
733,8,Alba Drive,Emma,Morris,39,Lodger,Single,Female,"Therapist, occupational",None,None
734,8,Alba Drive,Kirsty,Williams,57,Lodger,Single,Female,Broadcast engineer,None,None
735,8,Alba Drive,Benjamin,Reed,29,Lodger,Single,Male,"Pharmacist, hospital",None,Muslim
736,8,Alba Drive,Francis,Kennedy,42,Lodger,Single,Male,"Surveyor, mining",None,Christian
737,9,Alba Drive,Catherine,Gray,70,Head,Widowed,Female,Retired Museum/gallery conservator,None,Jewish
738,9,Alba Drive,Charlie,Grant,7,Grandson,NA,Male,Student,None,NA
739,10,Alba Drive,Kathleen,Patel,64,Head,Married,Female,Fitness centre manager,None,Methodist
740,10,Alba Drive,Barry,White,66,Husband,Married,Male,Manufacturing engineer,None,None
741,11,Alba Drive,Steven,Tomlinson,42,Head,Married,Male,Unemployed,None,None
742,11,Alba Drive,Janet,Tomlinson,32,Wife,Married,Female,Mining engineer,None,None
743,12,Alba Drive,Joanne,Morrison,30,Head,Single,Female,Farm manager,None,None
744,13,Alba Drive,Louise,Potter,78,Head,Widowed,Female,"Retired Engineer, agricultural",None,Christian
745,13,Alba Drive,Gavin,Potter,41,Son,Single,Male,Health physicist,None,Christian
746,14,Alba Drive,Iain,Roberts,50,Head,Single,Male,Psychotherapist,None,None
747,15,Alba Drive,Clive,Phillips,39,Head,Single,M,"Journalist, magazine",None,Christian
748,15,Alba Drive,Alexandra,Lane,38,Partner,Single,Female,"Therapist, nutritional",None,Christian
749,16,Alba Drive,Lucy,Vincent,58,Head,Married,Female,Marine scientist,None,Christian
750,16,Alba Drive,Lawrence,Vincent,60,Husband,Married,Male,Social researcher,None,Christian
751,16,Alba Drive,Ricky,Vincent,20,Son,Single,Male,University Student,None,Christian
752,16,Alba Drive,Graeme,Vincent,17,Son,NA,Male,Student,None,NA
753,17,Alba Drive,Kevin,White,37,Head,Single,Male,"Engineer, control and instrumentation",None,Christian
754,17,Alba Drive,Anne,Bowen,39,None,Single,Female,Research scientist (medical),None,None
755,17,Alba Drive,Sara,Richards,38,None,Single,Female,Unemployed,None,Methodist
756,18,Alba Drive,Brian,Simpson,58,Head,Single,Male,Illustrator,None,Christian
757,19,Alba Drive,Leslie,Hodgson,55,Head,Married,Male,Armed forces operational officer,None,Christian
758,19,Alba Drive,Melanie,Hodgson,52,Wife,Married,Female,Ecologist,None,None
759,20,Alba Drive,Kayleigh,Smith,35,Head,Single,Female,"Sales professional, IT",None,Christian
760,20,Alba Drive,Donald,Morgan,34,Partner,Single,Male,Neurosurgeon,None,Christian
761,20,Alba Drive,Peter,Smith,5,Son,NA,Male,Student,None,NA
762,20,Alba Drive,Carol,Smith,1,Daughter,NA,Female,Child,None,NA
763,20,Alba Drive,Clare,Jenkins,42,Sibling,Single,Female,"Development worker, international aid",None,Methodist
764,21,Alba Drive,Vincent,Hughes,41,Head,Married,Male,Electronics engineer,None,Catholic
765,21,Alba Drive,Sophie,Hughes,39,Wife,Married,Female,Automotive engineer,None,Catholic
766,22,Alba Drive,Billy,Bennett,63,Head,Divorced,Male,Comptroller,None,Catholic
767,22,Alba Drive,Duncan,Giles-Bennett,14,Grandson,NA,Male,Student,None,NA
768,23,Alba Drive,Rosemary,Chadwick,33,Head,Married,Female,"Programmer, multimedia",None,Christian
769,23,Alba Drive,Jacob,Chadwick,35,Husband,Married,Male,Ship broker,None,Christian
770,24,Alba Drive,Tom,Burns,54,Head,Married,Male,Network engineer,None,Methodist
771,24,Alba Drive,Barbara,Burns,52,Wife,Married,f,"Loss adjuster, chartered",None,None
772,25,Alba Drive,Gemma,Lawson,69,Head,Married,Female,Retired Musician,None,Christian
773,25,Alba Drive,Gordon,Lawson,67,Husband,Married,Male,"Producer, radio",None,Christian
774,26,Alba Drive,Patricia,Walton,39,Head,Married,Female,Speech and language therapist,None,Methodist
775,26,Alba Drive,Jason,Walton,35,Husband,Married,Male,Pharmacologist,None,Methodist
776,26,Alba Drive,Danny,Walton,9,Son,NA,Male,Student,None,NA
777,27,Alba Drive,Carole,Miller,87,Head,Widowed,Female,Retired Media planner,None,None
778,28,Alba Drive,Josephine,Williams,39,Head,Married,Female,Historic buildings inspector/conservation officer,None,Catholic
779,28,Alba Drive,Denis,Williams,39,Husband,Married,Male,Banker,None,Catholic
780,28,Alba Drive,Harry,Williams,15,Son,NA,Male,Student,None,NA
781,28,Alba Drive,Gary,Williams,13,Son,NA,Male,Student,None,NA
782,29,Alba Drive,Hannah,Norton,47,Head,Single,Female,"Accountant, chartered management",None,Catholic
783,29,Alba Drive,Vanessa,Norton,10,Neice,NA,Female,Student,None,NA
784,29,Alba Drive,Ruth,Norton,9,Neice,NA,Female,Student,None,NA
785,29,Alba Drive,Toby,Norton,6,Nephew,NA,Male,Student,None,NA
786,30,Alba Drive,Diana,Jones,70,Head,Divorced,Female,Retired Chartered public finance accountant,None,None
787,30,Alba Drive,Ashleigh,Jones,37,Daughter,Single,Female,Press photographer,None,None
788,30,Alba Drive,Jill,Jones,34,Daughter,Divorced,Female,"Accountant, chartered public finance",None,None
789,31,Alba Drive,Sylvia,Singh,55,Head,Single,Female,Learning mentor,None,Christian
790,31,Alba Drive,Mark,Singh,13,Son,NA,Male,Student,None,NA
791,31,Alba Drive,Jordan,Singh,11,Son,NA,Male,Student,None,NA
792,31,Alba Drive,Kayleigh,Singh,11,Daughter,NA,Female,Student,None,NA
793,31,Alba Drive,Justin,Singh,11,Son,NA,Male,Student,None,NA
794,1,Campbell Tunnel,Dawn,Thomson,47,Head,Married,Female,Tourist information centre manager,None,None
795,1,Campbell Tunnel,Connor,Thomson,45,Husband,Married,Male,"Designer, blown glass/stained glass",None,None
796,1,Campbell Tunnel,Stanley,Thomson,3,Son,NA,Male,Child,None,NA
797,1,Campbell Tunnel,Gerard,Thomson,0,Son,NA,Male,Child,None,NA
798,2,Campbell Tunnel,Jacqueline,Day,38,Head,Single,Female,Unemployed,None,Jewish
799,2,Campbell Tunnel,Jacqueline,Day,9,Daughter,NA,Female,Student,None,NA
800,2,Campbell Tunnel,Natalie,Day,6,Daughter,NA,Female,Student,None,NA
801,2,Campbell Tunnel,Joseph,Day,6,Son,NA,Male,Student,None,NA
802,3,Campbell Tunnel,Beverley,Harvey,73,Head,Widowed,Female,"Retired Designer, multimedia",None,Christian
803,4,Campbell Tunnel,Pauline,Butler,37,Head,Single,Female,"Psychologist, sport and exercise",None,Catholic
804,4,Campbell Tunnel,Bruce,Butler,9,Son,NA,Male,Student,None,NA
805,5,Campbell Tunnel,Natasha,Middleton,57,Head,Married,Female,Chemical engineer,None,None
806,5,Campbell Tunnel,Garry,Middleton,58,Husband,Married,Male,Occupational hygienist,None,None
807,5,Campbell Tunnel,Kerry,Middleton,29,Daughter,Single,Female,Unemployed,None,None
808,5,Campbell Tunnel,Beth,Middleton,25,Daughter,Single,Female,Unemployed,None,None
809,5,Campbell Tunnel,Christian,Middleton,25,Son,Single,Male,TEFL teacher,None,None
810,5,Campbell Tunnel,Nicholas,Middleton,0,Son,NA,M,Child,None,NA
811,6,Campbell Tunnel,Susan,Richards,89,Head,Married,Female,Retired Race relations officer,Deaf,Christian
812,6,Campbell Tunnel,Shane,Richards,91,Husband,Married,Male,"Retired Sound technician, broadcasting/film/video",None,None
813,7,Campbell Tunnel,Kirsty,Wood,45,Head,Married,Female,"Designer, jewellery",None,None
814,7,Campbell Tunnel,Terry,Wood,46,Husband,Married,Male,"Conservation officer, nature",None,None
815,7,Campbell Tunnel,Barry,Wood,11,Son,NA,Male,Student,None,NA
816,7,Campbell Tunnel,Helen,Wood,11,Daughter,NA,Female,Student,None,NA
817,1,Doherty Valley,Nicole,Gough,79,Head,Single,Female,Retired Haematologist,None,Catholic
818,2,Doherty Valley,Colin,Foster,56,Head,Widowed,Male,"Librarian, academic",None,Christian
819,3,Doherty Valley,Donald,Jackson,76,Head,Married,Male,Retired Games developer,None,Methodist
820,3,Doherty Valley,Samantha,Jackson,74,Wife,Married,Female,Retired Hospital pharmacist,None,Methodist
821,4,Doherty Valley,Dennis,Williams,28,Head,Single,Male,Land/geomatics surveyor,None,None
822,5,Doherty Valley,Richard,Hall,62,Head,Single,Male,Higher education careers adviser,None,Christian
823,5,Doherty Valley,Kimberley,Harris,56,Partner,Single,Female,Orthoptist,None,Christian
824,6,Doherty Valley,Daniel,Smith,35,Head,Married,Male,"Editor, commissioning",None,Christian
825,6,Doherty Valley,Jayne,Smith,40,Wife,Married,Female,Communications engineer,None,Christian
826,7,Doherty Valley,Sheila,Cox,61,Head,Single,Female,Magazine journalist,None,Christian
827,7,Doherty Valley,Nicholas,Ellis,62,Partner,Single,Male,"Engineer, petroleum",None,Christian
828,7,Doherty Valley,Damien,Cox,22,Son,Single,M,"Education officer, environmental",None,Christian
829,7,Doherty Valley,Alice,Cox,18,Daughter,Single,Female,Student,None,None
830,7,Doherty Valley,Ronald,Cox,15,Son,NA,Male,Student,None,NA
831,7,Doherty Valley,Frank,Cox,14,Son,NA,Male,Student,None,NA
832,8,Doherty Valley,Sian,Henry,37,Head,Single,Female,TEFL teacher,None,Catholic
833,8,Doherty Valley,Damien,Chambers,35,Partner,Single,Male,Historic buildings inspector/conservation officer,None,Catholic
834,8,Doherty Valley,Mohamed,Henry,4,Son,NA,Male,Child,None,NA
835,9,Doherty Valley,Claire,Wright-Byrne,38,Head,Married,Female,Unemployed,None,None
836,9,Doherty Valley,Douglas,Wright-Byrne,42,Husband,Married,Male,Hospital doctor,None,None
837,9,Doherty Valley,Sandra,Wright-Byrne,14,Daughter,NA,Female,Student,None,NA
838,9,Doherty Valley,Brett,Wright-Byrne,12,Son,NA,Male,Student,None,NA
839,10,Doherty Valley,Holly,Morris,34,Head,Single,f,"Psychologist, clinical",None,Catholic
840,10,Doherty Valley,Jack,Morris,49,None,Single,Male,"Designer, television/film set",None,Catholic
841,10,Doherty Valley,Reece,Turner,62,None,Single,Male,Health and safety inspector,None,Christian
842,11,Doherty Valley,Dean,Wilson,53,Head,Divorced,Male,"Engineer, biomedical",None,Christian
843,12,Doherty Valley,Annette,Curtis,28,Head,Married,Female,Insurance risk surveyor,None,None
844,12,Doherty Valley,Henry,Curtis,30,Husband,Married,Male,Copy,None,None
845,13,Doherty Valley,Molly,Ball,52,Head,Married,Female,Orthoptist,None,Christian
846,13,Doherty Valley,Lawrence,Ball,50,Husband,Married,Male,Unemployed,None,Christian
847,13,Doherty Valley,Roger,Ball,35,Son,Divorced,Male,Retail merchandiser,None,Christian
848,13,Doherty Valley,Gordon,Ball,33,Son,Single,Male,Brewing technologist,None,None
849,13,Doherty Valley,Elliot,Ball,4,Son,NA,Male,Child,None,NA
850,14,Doherty Valley,Hazel,Smith,30,Head,Married,Female,Chartered certified accountant,None,None
851,14,Doherty Valley,Bradley,Smith,33,Husband,Married,Male,Radiation protection practitioner,None,None
852,14,Doherty Valley,Olivia,Smith,6,Daughter,NA,Female,Student,None,NA
853,14,Doherty Valley,Toby,Smith,0,Son,NA,Male,Child,None,NA
854,14,Doherty Valley,Joshua,Morris,59,Lodger,Single,Male,Insurance risk surveyor,None,Catholic
855,15,Doherty Valley,Danielle,Roberts,50,Head,Single,Female,Systems developer,None,Catholic
856,15,Doherty Valley,Barbara,Roberts,25,Daughter,Single,Female,Unemployed,None,None
857,16,Doherty Valley,Joel,Morris,35,Head,Married,Male,Chartered legal executive (England and Wales),None,Christian
858,16,Doherty Valley,Nicola,Morris,31,Wife,Married,Female,Writer,None,Christian
859,17,Doherty Valley,Stephanie,Evans,64,Head,Single,Female,Unemployed,None,Christian
860,17,Doherty Valley,Neil,Evans,12,Grandson,NA,Male,Student,None,NA
861,18,Doherty Valley,Sophie,Murphy,37,Head,Married,Female,Ship broker,None,None
862,18,Doherty Valley,Terence,Murphy,41,Husband,Married,Male,"Teacher, English as a foreign language",None,None
863,18,Doherty Valley,Geoffrey,Murphy,8,Son,NA,Male,Student,None,NA
864,19,Doherty Valley,Helen,Burke,64,Head,Single,Female,Building control surveyor,None,Catholic
865,20,Doherty Valley,Roger,Wilson,18,Head,Single,Male,University Student,None,Methodist
866,20,Doherty Valley,Leonard,Harrison,24,None,Single,Male,PhD Student,None,None
867,21,Doherty Valley,Patrick,Sharp,69,Head,Married,Male,"Retired Designer, industrial/product",None,Christian
868,21,Doherty Valley,Sandra,Sharp,70,Wife,Married,Female,Retired Photographer,None,None
869,22,Doherty Valley,Chelsea,Gibson,56,Head,Married,Female,Media buyer,None,Catholic
870,22,Doherty Valley,Kevin,Gibson,59,Husband,Married,Male,Lexicographer,None,None
871,22,Doherty Valley,Terry,Gibson,25,Son,Single,Male,Sub,None,Catholic
872,22,Doherty Valley,Sian,Gibson,25,Daughter,Divorced,Female,Counsellor,None,None
873,22,Doherty Valley,Benjamin,Gibson,21,Son,Single,M,University Student,None,Catholic
874,23,Doherty Valley,Hayley,Graham,58,Head,Single,Female,Homeopath,None,Christian
875,23,Doherty Valley,Gareth,Patel,11,Grandson,NA,Male,Student,None,NA
876,24,Doherty Valley,Clare,French,79,Head,Married,Female,"Retired Scientist, water quality",None,Methodist
877,24,Doherty Valley,Oliver,French,84,Husband,Married,Male,Retired Museum/gallery conservator,None,Methodist
878,25,Doherty Valley,Christian,Harrison,35,Head,Married,Male,Unemployed,None,Catholic
879,25,Doherty Valley,Grace,Harrison,33,Wife,Married,Female,Engineering geologist,None,None
880,26,Doherty Valley,Suzanne,Jenkins,64,Head,Married,Female,Exhibition designer,None,Christian
881,26,Doherty Valley,Simon,Jenkins,66,Husband,Married,Male,Systems analyst,None,Christian
882,27,Doherty Valley,Henry,Welch,65,Head,Married,Male,Community pharmacist,None,Christian
883,27,Doherty Valley,Kirsty,Welch,66,Wife,Married,Female,"Engineer, maintenance",None,Christian
884,27,Doherty Valley,Lorraine,Fuller,14,Granddaughter,NA,f,Student,None,NA
885,28,Doherty Valley,Kim,Smith,54,Head,Single,Female,Chief Executive Officer,None,None
886,28,Doherty Valley,Victor,Murray,57,Partner,Single,Male,Unemployed,None,None
887,28,Doherty Valley,Graeme,Duncan,11,Son,NA,Male,Student,None,NA
888,29,Doherty Valley,Stewart,Ryan,31,Head,Single,Male,Call centre manager,None,Methodist
889,29,Doherty Valley,Terry,Mistry,18,None,Single,male,Student,None,NA
890,29,Doherty Valley,Iain,Hughes,52,None,Single,Male,Retail banker,None,Christian
891,30,Doherty Valley,Toby,Wall,26,Head,Single,Male,Patent examiner,None,Methodist
892,30,Doherty Valley,Gail,Bradley,24,Partner,Single,Female,Pension scheme manager,None,Methodist
893,31,Doherty Valley,Pauline,Evans,40,Head,Married,Female,Energy engineer,None,Methodist
894,31,Doherty Valley,Joe,Evans,46,Husband,Married,Male,Automotive engineer,None,None
895,31,Doherty Valley,Lee,Evans,10,Son,NA,M,Student,None,NA
896,31,Doherty Valley,Hugh,Long-Evans,6,Son,NA,Male,Student,None,NA
897,32,Doherty Valley,Alan,Shaw-O'Neill,52,Head,Married,Male,"Designer, exhibition/display",None,Christian
898,32,Doherty Valley,Carolyn,Shaw-O'Neill,50,Wife,Married,Female,Clothing/textile technologist,None,Christian
899,1,Arthurfold Street,Carl,Edwards,18,Head,Married,Male,Student,None,NA
900,1,Arthurfold Street,Ashleigh,Edwards,19,Wife,Married,Female,Production engineer,None,NA
901,2,Arthurfold Street,Timothy,Hunt,46,Head,Divorced,Male,Unemployed,None,Catholic
902,3,Arthurfold Street,Rhys,Hill,74,Head,Widowed,Male,"Retired Copywriter, advertising",None,Methodist
903,4,Arthurfold Street,Rhys,Jones,61,Head,Single,Male,Senior tax professional/tax inspector,None,Christian
904,1,Thompson View,Maureen,Dickinson,43,Head,Married,Female,IT technical support officer,None,Methodist
905,1,Thompson View,Charles,Dickinson,42,Husband,Married,Male,"Lecturer, further education",None,Methodist
906,1,Thompson View,Gillian,Dickinson,17,Daughter,NA,female,Student,None,NA
907,1,Thompson View,Eleanor,Dickinson,14,Daughter,NA,F,Student,None,NA
908,1,Thompson View,Bryan,Dickinson,12,Son,NA,Male,Student,None,NA
909,1,Thompson View,Victoria,Dickinson,6,Daughter,NA,Female,Student,None,NA
910,1,Thompson View,Deborah,Baker,30,Lodger,Single,Female,"Development worker, community",None,None
911,1,Thompson View,Francesca,Roberts,52,Lodger,Divorced,Female,Purchasing manager,None,Methodist
912,2,Thompson View,Lorraine,Williams,20,Head,Single,Female,University Student,None,None
913,3,Thompson View,Diane,Clark,22,Head,Single,Female,University Student,None,Catholic
914,3,Thompson View,Billy,Carr,20,None,Single,Male,University Student,None,Muslim
915,3,Thompson View,Antony,Lyons,19,None,Single,Male,University Student,None,Methodist
916,3,Thompson View,Dawn,Burton,21,None,Single,Female,University Student,None,None
917,3,Thompson View,Sean,Power,21,None,Single,Male,University Student,None,Christian
918,4,Thompson View,Naomi,Doherty,54,Head,Single,Female,Osteopath,None,None
919,5,Thompson View,Susan,Stephenson,43,Head,Married,Female,Volunteer coordinator,None,Christian
920,5,Thompson View,Ben,Stephenson,45,Husband,Married,Male,Magazine journalist,None,None
921,5,Thompson View,Leslie,Stephenson,14,Son,NA,Male,Student,None,NA
922,5,Thompson View,Debra,Stephenson,12,Daughter,NA,Female,Student,None,NA
923,5,Thompson View,Albert,Stephenson,11,Son,NA,Male,Student,None,NA
924,6,Thompson View,Melissa,Hamilton,83,Head,Married,Female,Retired Communications engineer,Deaf,Christian
925,6,Thompson View,Scott,Hamilton,85,Husband,Married,Male,Retired Medical physicist,None,Christian
926,6,Thompson View,Joan,Williams,52,None,Married,Female,"Psychologist, educational",None,Methodist
927,6,Thompson View,Max,Williams,53,None,Married,Male,Astronomer,None,Methodist
928,6,Thompson View,Jonathan,Williams,16,None,NA,Male,Student,None,NA
929,7,Thompson View,Danielle,Cameron,30,Head,Married,Female,"Teacher, English as a foreign language",None,None
930,7,Thompson View,Ian,Cameron,35,Husband,Married,Male,"Engineer, aeronautical",None,None
931,7,Thompson View,Kayleigh,Cameron,0,Daughter,NA,Female,Child,None,NA
932,7,Thompson View,Alex,Carpenter,21,Visitor,Single,Male,University Student,None,None
933,7,Thompson View,Max,Cole,20,Sibling,Single,Male,University Student,None,Methodist
934,7,Thompson View,Malcolm,Barker,39,Visitor,Single,Male,Trade mark attorney,None,Methodist
935,7,Thompson View,Teresa,Kaur,23,Lodger,Divorced,Female,Heritage manager,None,None
936,7,Thompson View,Joan,Wilson,26,Lodger,Single,Female,Travel agency manager,None,Methodist
937,7,Thompson View,Mohammed,Taylor,44,Lodger,Single,Male,Radio broadcast assistant,None,Christian
938,7,Thompson View,Ronald,Chan,62,Visitor,Single,Male,Logistics and distribution manager,None,Christian
939,7,Thompson View,Howard,White,23,Lodger,Divorced,Male,Sport and exercise psychologist,None,Methodist
940,7,Thompson View,Kathleen,Wilkinson,25,Lodger,Single,Female,Site engineer,None,Christian
941,8,Thompson View,Amber,Knight,60,Head,Single,Female,Manufacturing engineer,None,Christian
942,8,Thompson View,Connor,Ferguson,61,Partner,Single,M,Adult guidance worker,None,None
943,8,Thompson View,Cameron,Knight,30,Son,Single,Male,Unemployed,None,None
944,8,Thompson View,Oliver,Knight,27,Son,Single,Male,Market researcher,None,Christian
945,8,Thompson View,Gary,Knight,14,Son,NA,Male,Student,None,NA
946,9,Thompson View,Amy,Clarke,38,Head,Married,Female,Health and safety adviser,None,Catholic
947,9,Thompson View,Leslie,Clarke,42,Husband,Married,Male,Passenger transport manager,None,Catholic
948,9,Thompson View,Bernard,Walsh,35,Sibling,Single,Male,Volunteer coordinator,None,None
949,9,Thompson View,Mohammad,White,23,Lodger,Single,Male,Unemployed,None,Muslim
950,9,Thompson View,Holly,Saunders,31,Cousin,Single,f,Facilities manager,None,None
951,10,Thompson View,Alice,Wheeler,55,Head,Married,Female,Merchant navy officer,None,None
952,10,Thompson View,Tom,Wheeler,60,Husband,Married,Male,Retail manager,None,None
953,10,Thompson View,Albert,Wheeler,26,Son,Single,Male,Photographer,None,None
954,10,Thompson View,Kayleigh,Wheeler,23,Daughter,Single,Female,Chemical engineer,None,None
955,10,Thompson View,Bruce,Wheeler,22,Son,Divorced,Male,"Education officer, museum",None,None
956,11,Thompson View,Kieran,Scott,50,Head,Married,Male,Unemployed,None,Methodist
957,11,Thompson View,Patricia,Scott,49,Wife,Married,Female,"Teacher, early years/pre",None,None
958,11,Thompson View,Fiona,Scott,15,Daughter,NA,Female,Student,None,NA
959,11,Thompson View,Ellie,Scott,12,Daughter,NA,Female,Student,None,NA
960,11,Thompson View,Duncan,Scott,9,Son,NA,Male,Student,None,NA
961,12,Thompson View,Sian,Armstrong,56,Head,Married,Female,Psychiatrist,None,None
962,12,Thompson View,Russell,Armstrong,55,Husband,Married,Male,Tree surgeon,None,None
963,12,Thompson View,Gregory,Armstrong,23,Son,Single,Male,Publishing copy,None,None
964,12,Thompson View,Nathan,Armstrong,21,Son,Single,Male,University Student,None,None
965,12,Thompson View,Rosemary,Armstrong,15,Daughter,NA,Female,Student,None,NA
966,13,Thompson View,Dominic,Jackson,44,Head,Widowed,Male,"Producer, television/film/video",None,None
967,13,Thompson View,Bryan,Jackson,9,Son,NA,Male,Student,None,NA
968,13,Thompson View,Elliot,Jackson,5,Son,NA,Male,Student,None,NA
969,13,Thompson View,Ashleigh,Jackson,2,Daughter,NA,Female,Child,None,NA
970,13,Thompson View,Hannah,Williams,56,Lodger,Divorced,Female,Water quality scientist,None,Christian
971,13,Thompson View,Dawn,Walsh,41,Lodger,Single,Female,Publishing rights manager,None,Christian
972,13,Thompson View,Julie,Murray,64,Visitor,Single,Female,Health promotion specialist,None,Christian
973,13,Thompson View,Paula,Humphreys,43,Sibling,Single,Female,Fish farm manager,None,None
974,14,Thompson View,Stanley,Daniels,55,Head,Single,Male,Control and instrumentation engineer,None,Christian
975,14,Thompson View,Charles,Daniels,22,Son,Single,Male,"Psychologist, educational",None,Christian
976,14,Thompson View,John,Daniels,21,Son,Divorced,Male,"Education officer, environmental",None,None
977,14,Thompson View,Maureen,Daniels,14,Daughter,NA,Female,Student,None,NA
978,14,Thompson View,Marcus,Daniels,12,Son,NA,Male,Student,None,NA
979,15,Thompson View,Donna,Roberts,70,Head,Single,Female,Retired Musician,None,None
980,15,Thompson View,Philip,George,68,Partner,Single,Male,Retired Patent examiner,None,None
981,15,Thompson View,Diane,Roberts,47,Daughter,Single,f,Herpetologist,None,None
982,15,Thompson View,Sharon,Roberts,45,Daughter,Single,Female,"Accountant, chartered management",None,None
983,15,Thompson View,Amy,Roberts,36,Daughter,Single,Female,Biomedical engineer,None,None
984,15,Thompson View,Irene,Roberts,32,Daughter,Single,Female,Media planner,None,None
985,15,Thompson View,Heather,Roberts,32,Daughter,Divorced,Female,"Investment banker, corporate",None,None
986,15,Thompson View,Arthur,Roberts,32,Son,Single,Male,Games developer,None,None
987,15,Thompson View,Hollie,Roberts,30,Daughter,Single,Female,Unemployed,None,None
988,15,Thompson View,Josh,Roberts,28,Son,Single,Male,Restaurant manager,None,None
989,15,Thompson View,Francis,Roberts,24,Son,Single,Male,Theatre manager,None,None
990,15,Thompson View,Terry,Roberts,22,Son,Single,Male,University Student,None,None
991,15,Thompson View,Glen,Roberts,18,Son,Widowed,Male,Student,None,None
992,15,Thompson View,Conor,Smith,16,Son,NA,Male,Student,None,NA
993,15,Thompson View,Leah,Smith,12,Daughter,NA,Female,Student,None,NA
994,16,Thompson View,Margaret,Walker,55,Head,Single,Female,Unemployed,None,Methodist
995,16,Thompson View,Daniel,Murphy,60,Partner,Single,M,Industrial buyer,None,Methodist
996,16,Thompson View,Sarah,Walker,28,Daughter,Single,Female,"Designer, graphic",None,Methodist
997,16,Thompson View,Bruce,Walker,28,Son,Single,Male,Licensed conveyancer,None,Methodist
998,16,Thompson View,Nigel,Walker,25,Son,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
999,16,Thompson View,Valerie,Walker,22,Daughter,Divorced,Female,University Student,None,Methodist
1000,16,Thompson View,Alexandra,Walker,20,Daughter,Single,Female,University Student,None,Methodist
1001,16,Thompson View,Dale,Walker,17,Son,NA,Male,Student,None,NA
1002,16,Thompson View,Damian,Walker,15,Son,NA,Male,Student,None,NA
1003,16,Thompson View,David,Walker,12,Son,NA,Male,Student,None,NA
1004,17,Thompson View,Fiona,Ellis,49,Head,Single,Female,Secretary/administrator,None,Christian
